feature_1,feature_2,correlation,abs_correlation
bps,Gemfibrozil,0.006882249871106333,0.006882249871106333
HDL,stroke_flag,0.006694933790266243,0.006694933790266243
age,hypertension,-0.006293632729799351,0.006293632729799351
eGFR,TC:HDL_ratio,-0.00577566727215932,0.00577566727215932
smoke,diabetes,-0.004923178011749275,0.004923178011749275
bmi,hypertension,-0.004668482210103794,0.004668482210103794
bpd,stroke_flag,0.003569274263167666,0.003569274263167666
bps,HDL,0.0028646179246945716,0.0028646179246945716
drinking,diabetes,-0.0026454553114652326,0.0026454553114652326
bw,hypertension,-0.0018252572497942528,0.0018252572497942528
AF,Gemfibrozil,0.001460840273976445,0.001460840273976445
hypertension,TC:HDL_ratio,-0.0013942373644357413,0.0013942373644357413
LDL,Gemfibrozil,-0.0013425935124495442,0.0013425935124495442
age,HDL,0.0012807070159025946,0.0012807070159025946
bpd,HDL,0.0009841643946013974,0.0009841643946013974
bmi,AF,-0.000486888200293463,0.000486888200293463
sex,sex,,
age,sex,,
age,age,,
height,sex,,
height,age,,
height,height,,
bw,sex,,
bw,age,,
bw,height,,
bw,bw,,
bmi,sex,,
bmi,age,,
bmi,height,,
bmi,bw,,
bmi,bmi,,
smoke,sex,,
smoke,age,,
smoke,height,,
smoke,bw,,
smoke,bmi,,
smoke,smoke,,
drinking,sex,,
drinking,age,,
drinking,height,,
drinking,bw,,
drinking,bmi,,
drinking,smoke,,
drinking,drinking,,
bps,sex,,
bps,age,,
bps,height,,
bps,bw,,
bps,bmi,,
bps,smoke,,
bps,drinking,,
bps,bps,,
bpd,sex,,
bpd,age,,
bpd,height,,
bpd,bw,,
bpd,bmi,,
bpd,smoke,,
bpd,drinking,,
bpd,bps,,
bpd,bpd,,
HDL,sex,,
HDL,age,,
HDL,height,,
HDL,bw,,
HDL,bmi,,
HDL,smoke,,
HDL,drinking,,
HDL,bps,,
HDL,bpd,,
HDL,HDL,,
LDL,sex,,
LDL,age,,
LDL,height,,
LDL,bw,,
LDL,bmi,,
LDL,smoke,,
LDL,drinking,,
LDL,bps,,
LDL,bpd,,
LDL,HDL,,
LDL,LDL,,
Triglyceride,sex,,
Triglyceride,age,,
Triglyceride,height,,
Triglyceride,bw,,
Triglyceride,bmi,,
Triglyceride,smoke,,
Triglyceride,drinking,,
Triglyceride,bps,,
Triglyceride,bpd,,
Triglyceride,HDL,,
Triglyceride,LDL,,
Triglyceride,Triglyceride,,
Cholesterol,sex,,
Cholesterol,age,,
Cholesterol,height,,
Cholesterol,bw,,
Cholesterol,bmi,,
Cholesterol,smoke,,
Cholesterol,drinking,,
Cholesterol,bps,,
Cholesterol,bpd,,
Cholesterol,HDL,,
Cholesterol,LDL,,
Cholesterol,Triglyceride,,
Cholesterol,Cholesterol,,
AF,sex,,
AF,age,,
AF,height,,
AF,bw,,
AF,bmi,,
AF,smoke,,
AF,drinking,,
AF,bps,,
AF,bpd,,
AF,HDL,,
AF,LDL,,
AF,Triglyceride,,
AF,Cholesterol,,
AF,AF,,
FBS,sex,,
FBS,age,,
FBS,height,,
FBS,bw,,
FBS,bmi,,
FBS,smoke,,
FBS,drinking,,
FBS,bps,,
FBS,bpd,,
FBS,HDL,,
FBS,LDL,,
FBS,Triglyceride,,
FBS,Cholesterol,,
FBS,AF,,
FBS,FBS,,
eGFR,sex,,
eGFR,age,,
eGFR,height,,
eGFR,bw,,
eGFR,bmi,,
eGFR,smoke,,
eGFR,drinking,,
eGFR,bps,,
eGFR,bpd,,
eGFR,HDL,,
eGFR,LDL,,
eGFR,Triglyceride,,
eGFR,Cholesterol,,
eGFR,AF,,
eGFR,FBS,,
eGFR,eGFR,,
Creatinine,sex,,
Creatinine,age,,
Creatinine,height,,
Creatinine,bw,,
Creatinine,bmi,,
Creatinine,smoke,,
Creatinine,drinking,,
Creatinine,bps,,
Creatinine,bpd,,
Creatinine,HDL,,
Creatinine,LDL,,
Creatinine,Triglyceride,,
Creatinine,Cholesterol,,
Creatinine,AF,,
Creatinine,FBS,,
Creatinine,eGFR,,
Creatinine,Creatinine,,
heart_disease,sex,,
heart_disease,age,,
heart_disease,height,,
heart_disease,bw,,
heart_disease,bmi,,
heart_disease,smoke,,
heart_disease,drinking,,
heart_disease,bps,,
heart_disease,bpd,,
heart_disease,HDL,,
heart_disease,LDL,,
